# ED: O = n_9*n_10,  L=18  N=12  t=1.0  V=1.0  tp=0.32  Vp=0.32  mu=0.0  alpha=0.0
energy,O_expval
-3.6884141722,0.3654835923
-3.1218463688,0.2423780498
-2.5942158265,0.4036879785
-2.5596264638,0.3448848627
-2.1318019861,0.2510868954
-2.0486601480,0.4144744114
-2.0145436087,0.3312440565
-1.7557440612,0.4200698005
-1.6053080781,0.3427413232
-1.5335126685,0.3521141775
-1.5098123154,0.3920955680
-1.4849076648,0.3877333587
-1.4798888276,0.2624126279
-1.3119036087,0.4251043880
-1.2465459141,0.4274029877
-1.1271089295,0.3572727409
-1.0774703033,0.2707945635
-1.0420803782,0.2704524031
-1.0161973108,0.3765059877
-0.9825592004,0.3329366369
-0.9665750450,0.3171970438
-0.8209853103,0.4384024272
-0.8142036910,0.3592925195
-0.7434040835,0.4082085968
-0.7078102306,0.3681801784
-0.6533953198,0.3447604109
-0.6403335089,0.4019242902
-0.6022631847,0.3784330284
-0.5697440237,0.2586205471
-0.5616415691,0.3579425489
-0.5348552393,0.3382482242
-0.4934611089,0.2729122752
-0.4620992824,0.4106440327
-0.4597634412,0.2419148750
-0.4381192445,0.3882171365
-0.3958639015,0.3685394214
-0.3834141015,0.4104900838
-0.3359425854,0.3753703223
-0.3066621542,0.3133477771
-0.2996255162,0.3603213737
-0.2347576981,0.4179576092
-0.2331424460,0.3411675957
-0.2267785752,0.3716822134
-0.1626171449,0.3521346026
-0.1319871076,0.3797093944
-0.1238532272,0.2991611325
-0.0759335483,0.3558321494
-0.0646512769,0.3121408486
-0.0637910947,0.3050113650
-0.0410060448,0.3633939636
-0.0279088894,0.3952016017
-0.0166548072,0.3289896000
0.0171283184,0.3610690557
0.0274763400,0.3558917425
0.0536182072,0.3600148447
0.0577942714,0.3162642793
0.1051748976,0.3513688729
0.1311157199,0.2977840581
0.1545816885,0.3147180300
0.1767474727,0.4787183074
0.1972134532,0.3686793170
0.2165898683,0.2987713856
0.2311466353,0.4057505932
0.2456589541,0.4147966152
0.2504999880,0.3264637811
0.3054670995,0.3538083651
0.3173968636,0.3578944595
0.3396826867,0.2897744952
0.3444735240,0.3570336378
0.3676397811,0.3426055458
0.3916667215,0.3302459534
0.4031284107,0.3535899744
0.4126976734,0.3621849683
0.4341587811,0.2608881896
0.4348330887,0.3401380512
0.4536796531,0.3452355119
0.4550171141,0.3471940901
0.4866261787,0.3812690112
0.4900193651,0.3159366637
0.4987817436,0.3457535831
0.5216005058,0.3379746890
0.5233523598,0.3772040357
0.5669403903,0.4392841978
0.5723616165,0.3431739646
0.5857811301,0.3810494672
0.6006415843,0.3476916090
0.6093158867,0.4383100197
0.6193289968,0.3791287580
0.6300503306,0.3499702639
0.6466061380,0.4178533348
0.6606592305,0.3281407088
0.6615433078,0.3707116806
0.6838487338,0.4074116244
0.6948201833,0.3631111715
0.7050776529,0.3917973449
0.7276199439,0.3642778817
0.7337959480,0.3862238286
0.7364386517,0.3997356491
0.7723592928,0.3604401522
