# PBC momentum-sector ED  L=18 N=12 t=1.0 V=1.0 tp=0.32 Vp=0.32  O=n_9*n_10 (1-indexed)
sector,energy,O_expval
0,-3.2402196462,0.3711503653
0,-1.0022302748,0.3852965798
0,0.6276289209,0.3981379751
0,0.8539243818,0.3938587949
0,0.8541088272,0.3938252495
0,1.1415496509,0.3902468496
0,1.4749987640,0.4070641408
0,1.9645036291,0.4018932446
0,1.9724291976,0.4025701685
0,2.0530530163,0.4008065369
0,2.0566108771,0.4008713185
0,2.4721065793,0.3925905565
0,2.5888635985,0.3903514177
0,2.6210815650,0.3943472394
0,2.7688360235,0.4062546531
0,2.7715230281,0.4074343181
0,2.8100541526,0.3809508624
0,2.8723826207,0.4067301315
0,2.8779706570,0.4064662242
0,2.9741540999,0.4136028808
0,2.9743684167,0.4135985670
0,3.2020348365,0.3923850848
0,3.3064136348,0.3943257376
0,3.3815372134,0.4006171985
0,3.4024544423,0.4019114444
0,3.4930895139,0.4021973763
0,3.5243878176,0.3785645752
0,3.6124492393,0.3951846410
0,3.6370190226,0.3840255428
0,3.6682498699,0.3973818267
0,3.7024124734,0.3875059894
0,3.7495697747,0.3960956922
0,3.8250767239,0.4010785370
0,3.8353503462,0.3961648423
0,3.9388409908,0.3953327698
0,3.9604483779,0.3923443652
0,4.0032091267,0.3963633358
0,4.1531142683,0.3961068654
0,4.1581592561,0.3953189777
0,4.1807220190,0.3941104360
0,4.2395964210,0.3990402807
0,4.2853835091,0.3931213038
0,4.3591310071,0.3994102216
0,4.3737768942,0.3942135818
0,4.4214695399,0.4024471589
0,4.4434572556,0.3979347926
0,4.4994668867,0.3998388692
0,4.5148794539,0.3905258396
0,4.5250172146,0.3860585922
0,4.5333731991,0.3957924481
0,4.5710857411,0.3988278474
0,4.6727172951,0.3966113722
0,4.7064378042,0.3926989827
0,4.7132187441,0.3992958099
0,4.7319629485,0.3950806904
0,4.7384486233,0.3997659132
0,4.7593247556,0.4007636950
0,4.8169498983,0.3950997039
0,4.8573309879,0.4013307227
0,4.8709065625,0.3941500971
0,4.9637091868,0.4056453382
0,4.9907375332,0.4012435590
0,5.0046967508,0.4059395575
0,5.0211080723,0.3954416070
0,5.0550573137,0.3983527394
0,5.0669825544,0.4073994085
0,5.0794199246,0.3972517440
0,5.1034505196,0.4094960994
0,5.1523093994,0.3974304961
0,5.2051133140,0.4096079911
0,5.2126108309,0.4026899797
0,5.2420930676,0.4039569234
0,5.2736824747,0.4030978723
0,5.2930434575,0.4096670693
0,5.3087642678,0.4051132278
0,5.3720787397,0.4121461493
0,5.3980018518,0.4071333900
0,5.4411719515,0.4094391016
0,5.4515486976,0.4094298645
0,5.4633202599,0.4044149977
0,5.4914150565,0.4060816647
