# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
0.000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
0.050000,9.9751119201e-01,4.9626787723e-03,9.9505539846e-01,4.9368077926e-03,9.9506464335e-01,4.9353522853e-03,9.9506320876e-01,4.9430378602e-03,9.9503922552e-01,2.4884551755e-03
0.100000,9.9010671417e-01,1.9643933113e-02,9.8050197795e-01,1.9464051395e-02,9.8055283933e-01,1.9447118135e-02,9.8053614022e-01,1.9491642795e-02,9.8036373088e-01,9.8918520020e-03
0.150000,9.7796975521e-01,4.3439109074e-02,9.5715333650e-01,4.2763248751e-02,9.5731366900e-01,4.2686150660e-02,9.5723761178e-01,4.2831890748e-02,9.5657827667e-01,2.2026951623e-02
0.200000,9.6139712824e-01,7.5390647872e-02,9.2627758150e-01,7.3569058223e-02,9.2665528186e-01,7.3344216562e-02,9.2643340105e-01,7.3695279497e-02,9.2464049683e-01,3.8596908361e-02
0.250000,9.4078760061e-01,1.1425638227e-01,8.8947863745e-01,1.1030171294e-01,8.9020243457e-01,1.0979648079e-01,8.8970367600e-01,1.1047759245e-01,8.8579248261e-01,5.9203000306e-02
0.300000,9.1662745651e-01,1.5859262417e-01,8.4855382455e-01,1.5122377865e-01,8.4972971194e-01,1.5026830394e-01,8.4878611269e-01,1.5138149053e-01,8.4147757138e-01,8.3359125658e-02
0.350000,8.8947463506e-01,2.0684255562e-01,8.0534612468e-01,1.9459875948e-01,8.0699580379e-01,1.9300096155e-01,8.0541722472e-01,1.9456436289e-01,7.9325187045e-01,1.1050770175e-01
0.400000,8.5994256652e-01,2.5742115118e-01,7.6160863078e-01,2.3883008875e-01,7.6360260352e-01,2.3639252309e-01,7.6119338359e-01,2.3827391156e-01,7.4269931005e-01,1.4003583097e-01
0.450000,8.2868438575e-01,3.0878986513e-01,7.1889513595e-01,2.8256357915e-01,7.2089699893e-01,2.7909602389e-01,7.1746844785e-01,2.8095751101e-01,6.9135700491e-01,1.7129104743e-01
0.500000,7.9637769536e-01,3.5951699616e-01,6.7848561125e-01,3.2474347601e-01,6.7992432631e-01,3.2006597466e-01,6.7529782776e-01,3.2133661161e-01,6.4065500647e-01,2.0359647441e-01
0.550000,7.6370960534e-01,4.0832233696e-01,6.4134951730e-01,3.6462049210e-01,6.4143234525e-01,3.5855436283e-01,6.3543056766e-01,3.5844327631e-01,5.9187181752e-01,2.3626567871e-01
0.600000,7.3136153167e-01,4.5410689093e-01,6.0814454941e-01,4.0171803783e-01,6.0591540315e-01,3.9406649042e-01,5.9834319375e-01,3.9162128932e-01,5.4610485623e-01,2.6861775728e-01
0.650000,6.9999324731e-01,4.9596981908e-01,5.7924424573e-01,4.3576895118e-01,5.7368207824e-01,4.2629336549e-01,5.6430299723e-01,4.2049843795e-01,5.0425367233e-01,2.9999318546e-01
0.700000,6.7022594658e-01,5.3321532516e-01,5.5478531589e-01,4.6663840707e-01,5.4492727457e-01,4.5503966998e-01,5.3344507131e-01,4.4493912430e-01,4.6701317877e-01,3.2977068637e-01
0.750000,6.4262454291e-01,5.6535205840e-01,5.3472466035e-01,4.9424897317e-01,5.1979176467e-01,4.8016430133e-01,5.0584714831e-01,4.6498733314e-01,4.3487430117e-01,3.5738491655e-01
0.800000,6.1767995915e-01,5.9208706417e-01,5.1889669276e-01,5.1852121082e-01,4.9839778602e-01,5.0154486521e-01,4.8158886905e-01,4.8080932654e-01,4.0813001163e-01,3.8234421466e-01
0.850000,5.9579265549e-01,6.1331560658e-01,5.0706341543e-01,5.3933856011e-01,4.8085688116e-01,5.1906991627e-01,4.6078677865e-01,4.9264358990e-01,3.8688543317e-01,4.0424716324e-01
0.900000,5.7725895423e-01,6.2910753245e-01,4.9895229900e-01,5.5653959577e-01,4.6725369825e-01,5.3265521369e-01,4.4360199435e-01,5.0076295522e-01,3.7107136765e-01,4.2279638938e-01
0.950000,5.6226176363e-01,6.3969038389e-01,4.9427988342e-01,5.6993530057e-01,4.5761508209e-01,5.4227464865e-01,4.3022292039e-01,5.0545097041e-01,3.6046106746e-01,4.3780797948e-01
1.000000,5.5086704101e-01,6.4542926818e-01,4.9276166714e-01,5.7934477266e-01,4.5187624819e-01,5.4799404187e-01,4.2082960176e-01,5.0699194766e-01,3.5469026905e-01,4.4921514248e-01
1.050000,5.4302678536e-01,6.4680357308e-01,4.9411087828e-01,5.8464040606e-01,4.4985490217e-01,5.4999694546e-01,4.1554866951e-01,5.0567211126e-01,3.5328042008e-01,4.5706530874e-01
1.100000,5.3858859403e-01,6.4438093028e-01,4.9802988720e-01,5.8579320642e-01,4.5124056106e-01,5.4859519675e-01,4.1440819164e-01,5.0178811207e-01,3.5566470570e-01,4.6151061486e-01
