# E0 = 19.46
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20
0.000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
0.050000,9.9751119201e-01,4.9626787723e-03,9.9505539846e-01,4.9368077796e-03,9.9506464251e-01,4.9353661572e-03,9.9506463389e-01,4.9353660903e-03,9.9506463391e-01,4.9353660881e-03,9.9506463391e-01,4.9353660882e-03,9.9506463391e-01,4.9353661012e-03,9.9506463476e-01,4.9353522163e-03,9.9506320878e-01,4.9430378581e-03,9.9503922552e-01,2.4884551755e-03
0.100000,9.9010671417e-01,1.9643933115e-02,9.8050197815e-01,1.9464050615e-02,9.8055283234e-01,1.9447419210e-02,9.8055258357e-01,1.9447415820e-02,9.8055258437e-01,1.9447415632e-02,9.8055258437e-01,1.9447415630e-02,9.8055258418e-01,1.9447416412e-02,9.8055259135e-01,1.9447114556e-02,9.8053614102e-01,1.9491642607e-02,9.8036373088e-01,9.8918520020e-03
0.150000,9.7796975521e-01,4.3439109148e-02,9.5715333943e-01,4.2763240328e-02,9.5731367374e-01,4.2688433600e-02,9.5731161043e-01,4.2688384131e-02,9.5731161894e-01,4.2688381118e-02,9.5731161888e-01,4.2688381039e-02,9.5731161595e-01,4.2688389534e-02,9.5731161415e-01,4.2686098176e-02,9.5723762023e-01,4.2831887726e-02,9.5657827661e-01,2.2026951620e-02
0.200000,9.6139712823e-01,7.5390648597e-02,9.2627760261e-01,7.3569011053e-02,9.2665552869e-01,7.3354305780e-02,9.2664603252e-01,7.3353940735e-02,9.2664608132e-01,7.3353919326e-02,9.2664608068e-01,7.3353918582e-02,9.2664605963e-01,7.3353966439e-02,9.2664583384e-01,7.3343830112e-02,9.2643344926e-01,7.3695258023e-02,9.2464049621e-01,3.8596908363e-02
0.250000,9.4078760074e-01,1.1425638733e-01,8.8947873658e-01,1.1030154051e-01,8.9020396693e-01,1.0982811670e-01,8.9017355561e-01,1.0982636696e-01,8.9017373791e-01,1.0982626690e-01,8.9017373315e-01,1.0982626155e-01,8.9017363453e-01,1.0982643858e-01,8.9017220073e-01,1.0979463112e-01,8.8970385410e-01,1.1047749183e-01,8.8579247810e-01,5.9203000122e-02
0.300000,9.1662745754e-01,1.5859264686e-01,8.4855416610e-01,1.5122332288e-01,8.4973568441e-01,1.5034616458e-01,8.4965994413e-01,1.5033992591e-01,8.4966044034e-01,1.5033958190e-01,8.4966041824e-01,1.5033955831e-01,8.4966007940e-01,1.5034003413e-01,8.4965444418e-01,1.5026172279e-01,8.4878659002e-01,1.5138114371e-01,8.4147755011e-01,8.3359124474e-02
0.350000,8.8947464012e-01,2.0684263172e-01,8.0534706039e-01,1.9459786489e-01,8.0701358037e-01,1.9316039309e-01,8.0685748043e-01,1.9314251469e-01,8.0685850265e-01,1.9314157379e-01,8.0685842690e-01,1.9314149447e-01,8.0685750116e-01,1.9314245870e-01,8.0684064454e-01,1.9298214703e-01,8.0541818026e-01,1.9456341139e-01,7.9325179740e-01,1.1050769601e-01
0.400000,8.5994258532e-01,2.5742135533e-01,7.6161078263e-01,2.3882886966e-01,7.6364637078e-01,2.3667396393e-01,7.6337009241e-01,2.3663072720e-01,7.6337164174e-01,2.3662856752e-01,7.6337143448e-01,2.3662835240e-01,7.6336931132e-01,2.3662976717e-01,7.6332765321e-01,2.3634713680e-01,7.6119474450e-01,2.3827172112e-01,7.4269911221e-01,1.4003581026e-01
0.450000,8.2868444285e-01,3.0879031885e-01,7.1889945812e-01,2.8256294086e-01,7.2099016696e-01,2.7953378519e-01,7.2056086043e-01,2.7944257788e-01,7.2056222504e-01,2.7943825070e-01,7.2056175400e-01,2.7943776348e-01,7.2055750243e-01,2.7943885936e-01,7.2046855988e-01,2.7900050469e-01,7.1746937142e-01,2.8095310849e-01,6.9135656318e-01,1.7129098620e-01
0.500000,7.9637784082e-01,3.5951785248e-01,6.7849342800e-01,3.2474581969e-01,6.8010073065e-01,3.2067334349e-01,6.7950815833e-01,3.2050151356e-01,6.7950721023e-01,3.2049371506e-01,6.7950629417e-01,3.2049276821e-01,6.7949863412e-01,3.2049134519e-01,6.7932985258e-01,3.1988635909e-01,6.7529599365e-01,3.2132864814e-01,6.4065417160e-01,2.0359632095e-01
0.550000,7.6370992215e-01,4.0832373160e-01,6.4136256979e-01,3.6463034170e-01,6.4173539106e-01,3.5930904104e-01,6.4100718433e-01,3.5901480601e-01,6.4099971856e-01,3.5900185663e-01,6.4099815992e-01,3.5900024256e-01,6.4098543902e-01,3.5899202131e-01,6.4069507095e-01,3.5824717376e-01,6.3542154065e-01,3.5842998257e-01,5.9187045854e-01,2.3626534785e-01
0.600000,7.3136212760e-01,4.5410887626e-01,6.0816510925e-01,4.0174219204e-01,6.0639484233e-01,3.9490131534e-01,6.0560603490e-01,3.9443704847e-01,6.0558555311e-01,3.9441684877e-01,6.0558317842e-01,3.9441438074e-01,6.0556332513e-01,3.9439280315e-01,6.0510367793e-01,3.9358200049e-01,5.9832025456e-01,3.9160036619e-01,5.4610292645e-01,2.6861713888e-01
0.650000,6.9999421550e-01,4.9597232654e-01,5.7927533964e-01,4.3581581526e-01,5.7438891558e-01,4.2709656276e-01,5.7366118971e-01,4.2641392440e-01,5.7361948913e-01,4.2638388697e-01,5.7361615416e-01,4.2638040530e-01,5.7358660559e-01,4.2633724355e-01,5.7290913576e-01,4.2558073340e-01,5.6425778937e-01,4.2046683705e-01,5.0425124617e-01,2.9999218414e-01
0.700000,6.7022728533e-01,5.3321821704e-01,5.5483106735e-01,4.6671647187e-01,5.4590805436e-01,4.5566655745e-01,5.4539677047e-01,4.5472214979e-01,5.4532541174e-01,4.5467914547e-01,5.4532091159e-01,4.5467443075e-01,5.4527855611e-01,4.5460126964e-01,5.4433949051e-01,4.5405269357e-01,5.3336910373e-01,4.4489271182e-01,4.6701039837e-01,3.2976930306e-01
0.750000,6.4262604520e-01,5.6535530047e-01,5.3479071145e-01,4.9436493749e-01,5.2108387711e-01,4.8045897413e-01,5.2095479931e-01,4.7921883318e-01,5.2084701986e-01,4.7915920561e-01,5.2084086704e-01,4.7915276156e-01,5.2078205573e-01,4.7904291190e-01,5.1954686567e-01,4.7886613743e-01,5.0573366358e-01,4.6492047307e-01,4.3487119996e-01,3.5738336025e-01
0.800000,6.1768111668e-01,5.9209097757e-01,5.1899065083e-01,5.1867880166e-01,5.0002725448e-01,5.0136694718e-01,5.0042871587e-01,4.9980850759e-01,5.0028084429e-01,4.9972815506e-01,5.0027192972e-01,4.9971887509e-01,5.0019255482e-01,4.9956876807e-01,4.9863792503e-01,4.9991024780e-01,4.8143403337e-01,4.8071443747e-01,4.0812625758e-01,3.8234299983e-01
