# E0 = 12.75
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23,n_24,n_25,n_26,n_27,n_28,n_29,n_30,n_31,n_32,n_33,n_34,n_35,n_36,n_37,n_38,n_39,n_40,n_41,n_42,n_43,n_44,n_45,n_46,n_47,n_48,n_49,n_50
0.000000,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00
0.050000,9.9750532899e-01,4.9863556135e-03,9.9501507384e-01,4.9849271121e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507289e-01,4.9849271115e-03,9.9501507288e-01,4.9849220914e-03,9.9501209205e-01,2.4962274250e-03
0.100000,9.9007259515e-01,1.9813462330e-02,9.8022164793e-01,1.9778430621e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156948e-01,1.9778430520e-02,9.8022156928e-01,1.9778310286e-02,9.8018040105e-01,9.9335833598e-03
0.150000,9.7785428498e-01,4.4089554546e-02,9.5609785242e-01,4.3902998348e-02,9.5609700376e-01,4.3902996097e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996101e-02,9.5609700390e-01,4.3902996102e-02,9.5609700390e-01,4.3902996218e-02,9.5609700076e-01,4.3901960141e-02,9.5589690729e-01,2.2159441536e-02
0.200000,9.6110007961e-01,7.7175259741e-02,9.2342106014e-01,7.6583557141e-02,9.2341646167e-01,7.6583538288e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646170e-01,7.6583538296e-02,9.2341646171e-01,7.6583538279e-02,9.2341643812e-01,7.6578382691e-02,9.2280132913e-01,3.8923893481e-02
0.250000,9.4015030571e-01,1.1820344333e-01,8.8323948245e-01,1.1677763441e-01,8.8322247247e-01,1.1677752807e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752808e-01,8.8322247192e-01,1.1677752736e-01,8.8322234838e-01,1.1675921894e-01,8.8176126155e-01,5.9886305418e-02
0.300000,9.1542704823e-01,1.6610599932e-01,8.3683406974e-01,1.6321564424e-01,8.3678479856e-01,1.6321520437e-01,8.3678479562e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520437e-01,8.3678479563e-01,1.6321520438e-01,8.3678479563e-01,1.6321520086e-01,8.3678430639e-01,1.6316335337e-01,8.3384536304e-01,8.4624216267e-02
0.350000,8.8742319694e-01,2.1964663853e-01,7.8567229251e-01,2.1444947493e-01,7.8555199376e-01,2.1444801838e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198164e-01,2.1444801836e-01,7.8555198160e-01,2.1444800444e-01,7.8555040507e-01,2.1432314871e-01,7.8029054112e-01,1.1264430399e-01
0.400000,8.5668975857e-01,2.7745852486e-01,7.3135568222e-01,2.6890723073e-01,7.3109690271e-01,2.6890314055e-01,7.3109685969e-01,2.6890314025e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685974e-01,2.6890314026e-01,7.3109685975e-01,2.6890314031e-01,7.3109685940e-01,2.6890309244e-01,7.3109251155e-01,2.6863692165e-01,7.2246428745e-01,1.4339508787e-01
0.450000,8.2382181645e-01,3.3808545221e-01,6.7556323490e-01,3.2495175231e-01,6.7505849697e-01,3.2494163655e-01,6.7505836457e-01,3.2494163525e-01,6.7505836470e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163529e-01,6.7505836471e-01,3.2494163530e-01,6.7505836475e-01,3.2494163543e-01,6.7505836330e-01,3.2494149137e-01,6.7504774473e-01,3.2442555588e-01,6.6182347098e-01,1.7628098434e-01
