# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# C(t) = (4/L) Σ_k [⟨n_k n_{k+1}⟩ - ⟨n_k⟩⟨n_{k+1}⟩]  connected NN density correlator; T=∞ plateau = -1/(L-1) = -0.1111111111111111
# L=10  N=5  t_hop=1.0  V=1.0  tp=0.3  Vp=0.3  rng_seed=42
# ln(D) = 5.529429087511423  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 4.836281906951478 for thermalizing system)
time,chi_ent_mean,chi_ent_std,C_mean,C_std
0.0000,0.00000000,0.00000000,0.00000000,0.00000000
0.0050,0.00032885,0.00007752,-0.00006100,0.00001609
0.0100,0.00131537,0.00031008,-0.00024392,0.00006434
0.0150,0.00295949,0.00069771,-0.00054860,0.00014469
0.0200,0.00526110,0.00124043,-0.00097472,0.00025703
0.0250,0.00822004,0.00193829,-0.00152188,0.00040121
0.0300,0.01183608,0.00279133,-0.00218954,0.00057702
0.0350,0.01610897,0.00379963,-0.00297703,0.00078424
0.0400,0.02103841,0.00496325,-0.00388359,0.00102258
0.0450,0.02662402,0.00628228,-0.00490833,0.00129173
0.0500,0.03286541,0.00775682,-0.00605025,0.00159131
0.0550,0.03976211,0.00938696,-0.00730821,0.00192092
0.0600,0.04731359,0.01117283,-0.00868100,0.00228013
0.0650,0.05551930,0.01311454,-0.01016727,0.00266844
0.0700,0.06437859,0.01521222,-0.01176556,0.00308532
0.0750,0.07389078,0.01746600,-0.01347431,0.00353022
0.0800,0.08405512,0.01987602,-0.01529185,0.00400253
0.0850,0.09487079,0.02244241,-0.01721642,0.00450162
0.0900,0.10633691,0.02516533,-0.01924612,0.00502682
0.0950,0.11845254,0.02804492,-0.02137898,0.00557740
0.1000,0.13121665,0.03108133,-0.02361293,0.00615263
0.1050,0.14462815,0.03427469,-0.02594580,0.00675173
0.1100,0.15868585,0.03762515,-0.02837532,0.00737390
0.1150,0.17338851,0.04113283,-0.03089912,0.00801828
0.1200,0.18873479,0.04479788,-0.03351477,0.00868402
0.1250,0.20472325,0.04862040,-0.03621974,0.00937021
0.1300,0.22135236,0.05260051,-0.03901141,0.01007592
0.1350,0.23862052,0.05673829,-0.04188708,0.01080020
0.1400,0.25652598,0.06103382,-0.04484399,0.01154207
0.1450,0.27506691,0.06548717,-0.04787929,0.01230053
0.1500,0.29424138,0.07009837,-0.05099007,0.01307455
0.1550,0.31404730,0.07486743,-0.05417333,0.01386309
0.1600,0.33448249,0.07979433,-0.05742604,0.01466508
0.1650,0.35554462,0.08487904,-0.06074509,0.01547944
0.1700,0.37723124,0.09012146,-0.06412732,0.01630507
0.1750,0.39953972,0.09552148,-0.06756949,0.01714084
0.1800,0.42246733,0.10107894,-0.07106836,0.01798564
0.1850,0.44601112,0.10679363,-0.07462059,0.01883832
0.1900,0.47016801,0.11266528,-0.07822284,0.01969771
0.1950,0.49493474,0.11869359,-0.08187170,0.02056268
0.2000,0.52030785,0.12487816,-0.08556374,0.02143203
0.2050,0.54628369,0.13121857,-0.08929551,0.02230460
0.2100,0.57285840,0.13771429,-0.09306350,0.02317920
0.2150,0.60002791,0.14436473,-0.09686419,0.02405465
0.2200,0.62778792,0.15116921,-0.10069406,0.02492977
0.2250,0.65613388,0.15812697,-0.10454955,0.02580337
0.2300,0.68506101,0.16523713,-0.10842709,0.02667427
0.2350,0.71456424,0.17249873,-0.11232311,0.02754128
0.2400,0.74463825,0.17991068,-0.11623403,0.02840324
0.2450,0.77527741,0.18747178,-0.12015627,0.02925897
0.2500,0.80647579,0.19518069,-0.12408624,0.03010731
0.2550,0.83822713,0.20303596,-0.12802039,0.03094712
0.2600,0.87052486,0.21103595,-0.13195514,0.03177724
0.2650,0.90336203,0.21917891,-0.13588695,0.03259657
0.2700,0.93673134,0.22746289,-0.13981229,0.03340397
0.2750,0.97062510,0.23588578,-0.14372765,0.03419837
0.2800,1.00503519,0.24444529,-0.14762954,0.03497866
0.2850,1.03995311,0.25313891,-0.15151452,0.03574381
0.2900,1.07536990,0.26196394,-0.15537917,0.03649276
0.2950,1.11127613,0.27091746,-0.15922008,0.03722449
0.3000,1.14766189,0.27999630,-0.16303393,0.03793801
0.3050,1.18451678,0.28919708,-0.16681740,0.03863235
