# χ_ent(t) = -ln(Σ_s |⟨s|ψ(t)⟩|^4)  Fock-basis IPR averaged over 20 random Fock initial states
# L=16  N=8  t_hop=1.0  V=1.0  tp=0.3  Vp=0.0  rng_seed=42
# ln(D) = 9.462654300590172  (ergodic ceiling: χ_ent → ln(D) - ln(2) ≈ 8.769507120030227 for thermalizing system)
time,chi_ent_mean,chi_ent_std
0.0000,0.00000000,0.00000000
0.5000,3.81814476,0.71376595
1.0000,5.84699100,0.46501157
1.5000,7.01412723,0.45858301
2.0000,7.27833543,0.34333020
2.5000,7.81321603,0.31756706
3.0000,8.08863595,0.32113966
3.5000,8.26791474,0.29670585
4.0000,8.37175894,0.22943970
4.5000,8.45881786,0.18380310
5.0000,8.52060419,0.15977614
5.5000,8.56262272,0.14939913
6.0000,8.59624619,0.11891715
6.5000,8.61588054,0.10891178
7.0000,8.62860617,0.10624209
7.5000,8.64042348,0.09218559
8.0000,8.63216303,0.10480344
8.5000,8.66725291,0.07017206
9.0000,8.67245496,0.06971168
9.5000,8.68251242,0.06308922
10.0000,8.69015295,0.05856798
10.5000,8.69416530,0.06045662
11.0000,8.69078157,0.06420214
11.5000,8.69136494,0.06074049
12.0000,8.69434387,0.05856613
12.5000,8.69496650,0.05997261
13.0000,8.69386010,0.05856059
13.5000,8.69748599,0.06193218
14.0000,8.70062912,0.05443447
14.5000,8.70752827,0.05086992
15.0000,8.70755853,0.05153597
15.5000,8.70049802,0.05816761
16.0000,8.71391035,0.04546661
16.5000,8.70658138,0.05887074
17.0000,8.71200502,0.04979869
17.5000,8.71033781,0.05329446
18.0000,8.71270661,0.05560686
18.5000,8.70728448,0.05299214
19.0000,8.71093450,0.05209049
19.5000,8.70793726,0.05227543
20.0000,8.71163115,0.04879095
20.5000,8.71406544,0.04767643
21.0000,8.70614158,0.05794331
21.5000,8.71058463,0.04969223
22.0000,8.71045099,0.04528233
22.5000,8.70572774,0.04952133
23.0000,8.71327701,0.04337355
23.5000,8.71676293,0.04696278
24.0000,8.71154465,0.04836821
24.5000,8.71886990,0.04869415
25.0000,8.71436141,0.04619467
25.5000,8.70924425,0.06013989
26.0000,8.71053328,0.05534695
26.5000,8.71285166,0.04444962
27.0000,8.71745420,0.04244806
27.5000,8.71144353,0.04725705
28.0000,8.71155557,0.05007193
28.5000,8.71488839,0.05546942
29.0000,8.70655278,0.06745310
29.5000,8.71565328,0.04575970
30.0000,8.71435628,0.04716130
